           77.444151 -4.010854 -3.125993 -0.034761
           77.539326 -4.022569 -3.171125 -0.068199
           77.639355 -4.024842 -3.230538 -0.049848
           77.739288 -4.013442 -3.280247 -0.038286
           77.839390 -4.005112 -3.331859 -0.015226
           77.944385 -4.007147 -3.390368 -0.005751
           78.044358 -3.992678 -3.435961 -0.020184
           78.139369 -3.988180 -3.474917 -0.004860
           78.239353 -3.979415 -3.500483 -0.045039
           78.339088 -3.988277 -3.547105 -0.028453
           78.439288 -3.977033 -3.605034 -0.018581
           78.539405 -3.971549 -3.628446 -0.025527
           78.639333 -3.967513 -3.684848 -0.025629
           78.739623 -3.972363 -3.710626 -0.040499
           78.839390 -3.965925 -3.774145 -0.072538
           78.939449 -3.959646 -3.819420 -0.029641
           79.039066 -3.965266 -3.857455 -0.013893
           79.139415 -3.963053 -3.899765 -0.023475
           79.239374 -3.957012 -3.939880 -0.016945
           79.339090 -3.935403 -3.993050 -0.017320
           79.439573 -3.933033 -4.046650 -0.022697
           79.539258 -3.927912 -4.103269 -0.005645
           79.639358 -3.927889 -4.120708 -0.019915
           79.739362 -3.922832 -4.171503 -0.019623
           79.839137 -3.938374 -4.218915 -0.021752
           79.939358 -3.940820 -4.273149 -0.018287
           80.039200 -3.936648 -4.328916 -0.008852
           80.139174 -3.931722 -4.377900 -0.009114
           80.239280 -3.925872 -4.415185 -0.037008
           80.339329 -3.909606 -4.456105 -0.018279
           80.439001 -3.891276 -4.500119  0.003584
           80.539204 -3.862768 -4.580235  0.027937
           80.639459 -3.862657 -4.644246  0.014367
           80.739177 -3.851458 -4.690601  0.009347
           80.839081 -3.839630 -4.724417 -0.004594
           80.939101 -3.830558 -4.768150 -0.024623
           81.039348 -3.820590 -4.790289 -0.031192
           81.139434 -3.802623 -4.837827 -0.040065
           81.239322 -3.782782 -4.870697 -0.020978
           81.334268 -3.771063 -4.918392  0.006641
           81.434282 -3.745514 -4.960351  0.007090
           81.534286 -3.736789 -5.001420  0.006295
           81.634317 -3.704540 -5.058259 -0.012674
           81.734273 -3.685321 -5.092713 -0.007679
           81.834313 -3.665160 -5.136296 -0.046264
           81.938995 -3.643363 -5.172782 -0.037212
           82.039187 -3.619262 -5.211053 -0.041581
           82.134318 -3.598599 -5.258469 -0.011743
           82.239284 -3.589852 -5.308141  0.006571
           82.334333 -3.580710 -5.348564  0.006468
           82.434339 -3.562708 -5.396813  0.027859
           82.534338 -3.542654 -5.444675  0.008183
           82.634243 -3.525980 -5.472942 -0.014440
           82.734317 -3.510580 -5.508735 -0.026504
           82.834308 -3.486910 -5.544396 -0.017970
           82.939344 -3.480912 -5.564398 -0.003004
           83.034138 -3.474762 -5.615159 -0.001980
           83.134128 -3.471511 -5.651311 -0.015029
           83.234305 -3.467087 -5.671604 -0.033579
           83.334316 -3.436505 -5.726102 -0.009149
           83.434145 -3.417479 -5.774858 -0.019825
           83.534209 -3.387053 -5.841107 -0.022097
           83.634102 -3.358533 -5.887013 -0.001201
           83.734182 -3.332861 -5.934109  0.014224
           83.834393 -3.326143 -5.975760  0.024085
           83.934102 -3.318570 -5.991549  0.019937
           84.034273 -3.297745 -6.028349  0.004022
           84.134486 -3.274234 -6.076767 -0.005029
           84.234171 -3.273600 -6.131333 -0.003463
           84.334215 -3.263729 -6.179735  0.007604
           84.434232 -3.240762 -6.223368  0.008713
           84.534340 -3.212930 -6.286359  0.000052
           84.634043 -3.201124 -6.326130 -0.023936
           84.734114 -3.169642 -6.360657 -0.022210
           84.834226 -3.168304 -6.411301 -0.012777
           84.934139 -3.159905 -6.460898  0.013262
           85.034106 -3.130977 -6.504057  0.036580
           85.134348 -3.082445 -6.560860  0.050283
           85.234269 -3.045035 -6.617267  0.038608
           85.334155 -3.018321 -6.646921  0.034088
           85.434147 -3.002103 -6.685235  0.017546
           85.534075 -2.986292 -6.710568  0.035688
           85.634040 -2.973678 -6.734682  0.061467
           85.734258 -2.944067 -6.783181  0.078704
           85.834438 -2.935542 -6.815806  0.070386
